Date,Month,Username,Item,Price,Category,Shoppingtype
2/24/2014,Feb-14,Shugo,Panda Express,7.22,F,STRSTR
2/24/2014,Feb-14,Shugo,Legend,5.50,F,STRSTR
2/24/2014,Feb-14,Shugo,Espresso Royale,2.40,F,STRSTR
2/24/2014,Feb-14,Shugo,Legend,8.00,F,STRSTR
2/21/2014,Feb-14,Shugo,Bevande,2.08,F,STRSTR
2/20/2014,Feb-14,Shugo,Espresso Royale,2.46,F,STRSTR
2/20/2014,Feb-14,Shugo,Cravings,6.00,F,STRSTR
2/19/2014,Feb-14,Shugo,Namecheap,10.87,S,ONLONL
2/19/2014,Feb-14,Shugo,Cracked Truck,5.00,F,STRSTR
2/17/2014,Feb-14,Shugo,Stree,4.52,G,STRSTR
2/17/2014,Feb-14,Shugo,Withdrawal,240.00,E,ONLSTR
2/17/2014,Feb-14,Shugo,Antonios Pizza N,3.40,F,STRSTR
2/17/2014,Feb-14,Shugo,Pavlov Media,29.99,S,ONLONL
2/17/2014,Feb-14,Shugo,Aroma Cafe,3.67,F,STRSTR
2/17/2014,Feb-14,Shugo,Stree,4.06,G,STRSTR
2/14/2014,Feb-14,Shugo,Bevande,2.08,F,STRSTR
2/14/2014,Feb-14,Shugo,Check 1038,57.50,S,STRSTR
2/13/2014,Feb-14,Shugo,Espresso Royale,2.46,F,STRSTR
2/13/2014,Feb-14,Shugo,Kohl's,40.96,C,STRSTR
2/12/2014,Feb-14,Shugo,Bevande,1.80,F,STRSTR
2/11/2014,Feb-14,Shugo,Stree,1.30,G,STRSTR
2/10/2014,Feb-14,Shugo,Amazon,5.00,F,ONLONL
2/10/2014,Feb-14,Shugo,Espresso Royale,2.73,F,STRSTR
2/10/2014,Feb-14,Shugo,Firehaus,6.00,F,STRSTR
2/10/2014,Feb-14,Shugo,Fat Sandwich Compa,8.74,F,STRSTR
2/10/2014,Feb-14,Shugo,Aroma Cafe,1.10,F,STRSTR
2/10/2014,Feb-14,Shugo,Check 1040,146.10,S,STRSTR
2/10/2014,Feb-14,Shugo,Aroma Cafe,4.87,F,STRSTR
2/7/2014,Feb-14,Shugo,Jimmy John's,5.03,F,STRSTR
2/7/2014,Feb-14,Shugo,Bevande,2.08,F,STRSTR
2/6/2014,Feb-14,Shugo,Dunkin Donuts,1.96,F,STRSTR
